BS_test,IBS_test,BS_train,IBS_train
0.18414516452977306,0.12538216024469293,0.11485623266970367,0.07546119022475209
0.20641335485724358,0.11581025626141107,0.12024106309842193,0.0700209611109225
0.2192638236652088,0.15090796313493265,0.1087425842585478,0.07675003190145992
0.16505022161165295,0.09913626256686897,0.09095094772077941,0.06913022886090232
0.2675067833770288,0.17712771237627967,0.12618631976488834,0.0915962876178035
0.2350146256745507,0.1489469663383714,0.10213148405610045,0.07430444789364632
0.22600018552978077,0.14337162937237993,0.10029057349188274,0.07036769224170678
0.20756463461754118,0.12408693502071247,0.13793512721024911,0.0824443851198895
0.23732141010093696,0.151310981754067,0.10310007376905853,0.05980029107808971
0.22269958103809911,0.14454627408663917,0.12082357442507234,0.09327625588374835
0.20019092363379057,0.09623715132559378,0.0935880523684486,0.06337644736404013
0.17255748915962243,0.12052409694806776,0.1065916902892489,0.07072099431115644
0.212479909518885,0.12641951422412226,0.11345366077946081,0.0768143770475135
0.2312360965858248,0.15852843757284618,0.11466190292635488,0.07016356689997938
0.24439454871838148,0.14391141145896658,0.134643486452798,0.08366517475781608
0.2226771265243338,0.14243813965140462,0.09808416843758659,0.05978912740976772
0.23208491633647205,0.13888270124500895,0.1088928800982488,0.08724437411456032
0.22706441992430781,0.14269116929477357,0.1534984113531935,0.10250105907452549
0.256098112153618,0.14317067350096238,0.12375186628246185,0.08442050671930061
0.23043770257559407,0.1296992895439803,0.12524312495801243,0.07972359148631154
0.21859210627292067,0.13680778670145058,0.1209188332696365,0.07840862771664127
0.1672764853612742,0.11203228645909533,0.09061554428202981,0.06419753933573472
0.22565643383640846,0.1463710683653499,0.13339526672093655,0.09200772710215202
0.26882002210909955,0.14764210647496417,0.11150235994915103,0.0609655390244075
0.19918940439522143,0.1260601219476172,0.1134398436695709,0.0654009438469175
0.17869900005385617,0.1355387897488048,0.1194966369439687,0.08415074907720264
0.22339601364257333,0.12968715259815275,0.1307420015057795,0.0859540370590723
0.26417790949051245,0.18045429764126758,0.13257932455754584,0.08216957075259072
0.20029970042688697,0.12364908127889401,0.11392084264410403,0.07662307386750766
0.23557825600929388,0.15671580477052569,0.13756421167108057,0.092475353543585
0.21600960091874385,0.13441066746446598,0.11454213468839551,0.07856800494006713
0.1845599348953078,0.10197490150643987,0.0918051616475733,0.06552105307048513
0.21985364199391094,0.14269446487728887,0.1103208670402996,0.07663969059410332
0.215085940141481,0.13858393589808207,0.09770119090558971,0.0759000415988931
0.2204223116799254,0.13122226857696961,0.10400184320833794,0.0667176986179535
0.18293593804176433,0.11112768257877002,0.15456920906274196,0.09191746867445684
0.1911800915095161,0.12781365040017084,0.1269197498791455,0.08741741790536336
0.20668663765346043,0.12994007901035426,0.126167997996074,0.07158953352849537
0.21047973685893717,0.11182920880808403,0.15957694516121823,0.0893786692343449
0.1865439792484868,0.12018643376225871,0.1033598298454371,0.0672248725248897
0.2194835186315864,0.1245129500853891,0.13830465399408817,0.0794917943432065
0.24277986334404317,0.131668175778061,0.10474949644008745,0.06604777791681873
0.21003397999094855,0.13211907611312804,0.10986674855936998,0.0716599084179125
0.190167398580881,0.10631403935221975,0.1151176385842618,0.06615428544241057
0.21647485871176378,0.13352166699289647,0.1120876391260956,0.09123071305600533
0.16989145362995922,0.10395113428816911,0.111475191354811,0.08988348191257847
0.23180060703435446,0.15474784552255166,0.14892131653172966,0.08686575768359717
0.21215140799508658,0.1204613627823464,0.11568097734656511,0.07858527726001419
0.22067830633400495,0.1377780330606844,0.12183171684535486,0.07468759401506833
0.21856259357736724,0.13404449937262775,0.13206800165153418,0.07847557790622049
0.18675944358074412,0.1280273411525521,0.10218845786048032,0.07616877800791676
0.19299372910363524,0.13751069728552465,0.1254895673793274,0.07575940377083196
0.20304068529348984,0.12368343235590712,0.12611132642428222,0.07233171979164586
0.19907242152278756,0.13520714504608194,0.1022806146952441,0.06741918138180523
